epoch,loss,lr,val_loss
0,0.0232052709121267,1e-04,0.02145232819020748
1,0.022489797751504646,1e-04,0.024134401232004166
2,0.013360413614525994,1e-04,0.004619221668690443
3,0.004527159662685192,1e-04,0.0011133340885862708
4,0.002992088086892884,1e-04,0.00025125715183094144
5,0.00248193704733597,1e-04,0.00039763175300322473
6,0.0022204114539405235,1e-04,0.0002586043847259134
7,0.0021136994610850865,1e-04,0.0005257616867311299
8,0.001958027856310012,1e-04,0.0006446411716751754
9,0.0020325166531355047,1e-04,0.0003185385139659047
10,0.0019522336648950904,1e-04,0.0002118765696650371
11,0.0019918004822491475,1e-04,0.00021084578474983573
12,0.002008613267985919,1e-04,0.00042667859815992415
13,0.0019012623609571979,1e-04,0.00019141069788020104
14,0.0019263156034520445,1e-04,0.00010688592738006264
15,0.0019216680841868078,1e-04,0.00010454976290930063
16,0.0018247466540028646,1e-04,0.0003281976096332073
17,0.0019014737128050289,1e-04,0.00016599033551756293
18,0.0018441512886818911,1e-04,0.0003214756434317678
19,0.001798355835044688,1e-04,0.0003043746983166784
20,0.0017956343047976122,1e-04,0.00035186123568564653
21,0.0018179009915287097,1e-04,0.00026537341182120144
22,0.0018513221222032266,1e-04,0.00020987403695471585
23,0.001883345311921313,1e-04,0.0002973145747091621
24,0.0019013877948033796,1e-04,0.0006309543969109654
25,0.0018440879696649435,1e-04,0.0003266058920416981
